,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2
0,368.828125,-8.114330051294662,1700.0,0.5,1640.0,0.002912366796746872,1.0642200308668657,0.0,0.009579166374598568,0.9904208336254015,0.0,0.0,2.146442796846884,2.237228855117575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693307707353227,37.59959578847371,0.0,0.0,0.19293866647952274,0.0,0.0,0.0,0.0,0.03348925557915237,0.15463612429396228,0.17801561704082638,13.515679791604049,0.0,0.0,0.0,-8.614330051294662,1820.677791591777,6042.67997194814,0.27926801664649115
1,368.21405467445743,-8.16110300052554,1699.9244709053653,0.5,1626.475035861109,0.002911845960245799,1.0638422910550878,0.009901399133423477,0.009596475848856319,0.9838607169996426,0.009157091914210474,0.0007443072192130038,2.1429089228022065,2.233811624856757,0.7201903550917806,0.9999862715785985,1.3728421401497506e-05,0.0,4.2364138534810625,4.2364138534810625,3.399777508960543,0.04670901735784835,0.9126408732545657,23.983492345314957,0.9248280763977591,0.1103145072767392,37.59147675407164,75.31898894475708,5.872950034168306,0.19293724400024811,0.0005848238140499272,0.004716598714020799,2.851659476331012e-07,2.3178873324144743e-08,0.03291909868342358,0.15520369852519986,0.1749872911304691,13.515679791604047,0.0,0.0,0.0,-8.614804686686641,1821.9622387869053,6042.679971948127,0.2946550482784421
2,367.59998434891486,-8.161999534174429,1699.9164283606915,0.5,1625.0253703231267,0.002911837471088586,1.063465301902014,0.009913663111462202,0.009613788088490302,0.9846713353235337,0.009166367410861182,0.0007472957006010196,2.1393807438928376,2.2303997801960946,0.7204828738166916,0.9999848186216072,1.518137839284825e-05,0.0,4.238322855797049,4.238322855797049,3.4045973745896077,0.04683094310857685,0.9122870776340168,24.023360385298023,0.9246196191862729,0.1103518428980049,37.58316527080604,75.15458114359836,5.877004866894633,0.19293883941327095,0.0005850181281271227,0.004716371615475424,3.1540365887736733e-07,2.5713544708409535e-08,0.032915493896745376,0.15520702997379213,0.17496838347436386,13.515679791604047,0.0,0.0,0.0,-8.615279322078623,1822.1808187593274,6042.67997194813,0.2948941245613881
3,366.9859140233723,-8.162260030302297,1699.9007696007855,0.5,1622.2268322159314,0.0029118208540174586,1.063089063471123,0.009916923558834063,0.009631158627480487,0.984665417626577,0.009168829913322848,0.0007480936455112161,2.1358582518456553,2.226993312708604,0.720715954203651,0.999981981671912,1.8018328087987685e-05,0.0,4.239714036405136,4.239714036405136,3.405727021957251,0.04695334973590231,0.9139414487817459,24.045745054512132,0.9245639395047258,0.11023688650054085,37.574878185854296,74.93457084685296,5.863781619489147,0.19293873751895613,0.0005844016582389004,0.004716924211809444,3.7444180752615596e-07,3.05510669815157e-08,0.032919639635968743,0.15520235053232967,0.17499091736440833,13.515679791604047,0.0,0.0,0.0,-8.615753957470602,1822.384566999369,6042.67997194813,0.2949175350756697
4,366.3718436978297,-8.162517980990799,1699.8850027657209,0.5,1619.4110801213315,0.0029118041151347932,1.0627135764920317,0.009919856740037859,0.009648582151389008,0.9846487770107886,0.009170995099179492,0.0007488616408583657,2.1323414384002075,2.2235922139815085,0.7209332710295666,0.9999791270130671,2.087298693289534e-05,0.0,4.241031499732039,4.241031499732039,3.4067537933700027,0.04707621174939838,0.9156093646423209,24.06814564927845,0.9245088250281014,0.11011713708665188,37.56659370109064,74.71257349127447,5.850330779773677,0.1929388018960559,0.0005837597465783773,0.004717501819266847,4.3386986507669644e-07,3.5427834773284467e-08,0.03292381695500606,0.15519763617951277,0.17501362235100018,13.515679791604049,0.0,0.0,0.0,-8.616228592862583,1822.5882780477334,6042.6799719481305,0.2949400891798902
5,365.75777337228715,-8.162776161453818,1699.8692245005284,0.5,1616.5956191956338,0.0029117873561805134,1.0623388414583435,0.00992281471956609,0.009666058839030958,0.9846320247195316,0.009173181869832103,0.0007496328497339867,2.1288302953087364,2.220196475616207,0.7211524329170287,0.9999762726285972,2.3727371402823313e-05,0.0,4.242360111088164,4.242360111088164,3.4077892355429764,0.04719953110034596,0.9172821042701587,24.09063937889841,0.9244536080820053,0.10999737314311137,37.558311524046864,74.49120125130874,5.836912950261993,0.1929388685437518,0.0005831177695640084,0.004718079458167483,4.933221082963156e-07,4.031430567131164e-08,0.0329279924326061,0.15519292371975,0.17503631763061503,13.515679791604047,0.0,0.0,0.0,-8.616703228254563,1822.7920167276175,6042.67997194813,0.2949627268164921
6,365.1437030467446,-8.163034538997202,1699.8534350333841,0.5,1613.7805254384489,0.0029117705772719583,1.061964858806841,0.009925800721433219,0.009683588943552706,0.984615206765013,0.009175393277673772,0.0007504074437594466,2.1253248143361687,2.216806089228275,0.7213736377722231,0.9999734185964325,2.6581403567472455e-05,0.0,4.24370079400775,4.24370079400775,3.4088343368772698,0.04732331011616875,0.9189597952906043,24.113225782207433,0.9243982964377817,0.10987763601944518,37.55003164421989,74.2704763618706,5.823529259739092,0.1929389353256623,0.0005824759465337222,0.004718656910298406,5.527974977117625e-07,4.521041710374207e-08,0.03293216647152805,0.15518821276494282,0.1750590053304735,13.515679791604043,0.0,0.0,0.0,-8.617177863646544,1822.9957822790361,6042.67997194813,0.29498543682418854
7,364.529632721202,-8.163293113247695,1699.8376341804847,0.5,1610.9657976777862,0.002911753778102012,1.061591629075784,0.009928814859007718,0.00970117272009719,0.9845983222924427,0.009177629421767947,0.0007511854372397725,2.121824987260098,2.2134210464474395,0.7215968943020631,0.9999705649150108,2.943508498917268e-05,0.0,4.24505359950572,4.24505359950572,3.409889136358414,0.04744755114583367,0.920642463478298,24.13590529572931,0.9243428900722955,0.10975792575038229,37.541754055822686,74.05039692100414,5.810179603481692,0.19293900223341182,0.0005818342776144217,0.004719234174951475,6.122965469742336e-07,5.011623679948496e-08,0.03293633907575775,0.15518350331081168,0.17508168547194783,13.515679791604047,0.0,0.0,0.0,-8.617652499038524,1823.1995746969462,6042.67997194813,0.295008219052791
8,363.91556239565944,-8.163551884536092,1699.8218217622864,0.5,1608.1514356326097,0.0029117369583676273,1.0612191526837789,0.009931857244864908,0.009718810425493194,0.9845813709875224,0.009179890398795717,0.0007519668460691913,2.1183308058707904,2.210041338917535,0.7218222107685643,0.9999677115836973,3.2288416302629806e-05,0.0,4.246418577010532,4.246418577010532,3.4109536731978958,0.0475722565485061,0.922330132540392,24.15867837856259,0.9242873888005204,0.10963824236059583,37.533478748698236,73.8309610075781,5.796863888607029,0.192939069267911,0.0005811927628819638,0.004719811251487801,6.718197525292173e-07,5.503183137160919e-08,0.03294051024067963,0.15517879536185256,0.17510435803052546,13.515679791604045,0.0,0.0,0.0,-8.618127134430505,1823.4033939927422,6042.67997194814,0.2950310735568705
9,363.30149207011686,-8.163810853199635,1699.8059975983947,0.5,1605.3374390401839,0.00291172011776425,1.0608474299937671,0.009934927992673192,0.009736502318272992,0.9845643525457038,0.009182176306425574,0.0007527516862476171,2.1148422619711633,2.2066669582965277,0.7220495955048851,0.9999648586018725,3.514139812752674e-05,0.0,4.247795776361442,4.247795776361442,3.4120279869795977,0.047697428696494334,0.9240228263239353,24.181545493075827,0.9242317924394866,0.10951858587894328,37.525205710592964,73.61216670863703,5.783582022475722,0.19293913642996308,0.000580551402434363,0.004720388139243771,7.313676130011801e-07,5.995726781768207e-08,0.032944679961598285,0.15517408892264437,0.1751270229812663,13.515679791604049,0.0,0.0,0.0,-8.618601769822485,1823.6072401779782,6042.67997194814,0.29505400037669854
